instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j2030_7	15	55.000	47.000	0.145	774	9.281	7200.000
j2030_8	15	37.000	26.000	0.297	95	73.260	7200.000
j2030_9	15	47.000	31.000	0.340	70	99.739	7200.000
j2030_10	15	47.000	31.000	0.340	143	49.994	7200.000
j2031_1	15	40.000	40.000	0.000	219	2.015	441.711
j2031_2	15	41.000	28.000	0.317	138	51.578	7200.000
j2031_3	15	34.000	25.000	0.265	464	15.361	7200.000
j2031_4	15	41.000	41.000	0.000	705	3.666	2585.197
j2031_5	15	27.000	27.000	0.000	72	0.863	62.599
j2031_6	15	37.000	26.000	0.297	56	118.265	7200.000
j2031_7	15	32.000	22.000	0.312	84	82.139	7200.000
j2031_8	15	38.000	38.000	0.000	694	3.960	2748.285
j2031_9	15	51.000	51.000	0.000	1024	6.737	6898.547
j2031_10	15	48.000	43.000	0.104	1363	5.278	7200.000
j2032_1	15	33.000	33.000	0.000	931	6.415	5972.793
j2032_2	15	26.000	26.000	0.000	73	0.815	59.842
j2032_3	15	42.000	42.000	0.000	767	2.918	2238.449
j2032_4	15	28.000	25.000	0.107	1272	5.652	7200.000
j2032_5	15	33.000	33.000	0.000	130	1.058	137.933
j2032_6	15	34.000	34.000	0.000	664	3.156	2096.071
j2032_7	15	29.000	29.000	0.000	765	4.844	3705.991
j2032_8	15	44.000	43.000	0.023	1593	4.515	7200.000
j2032_9	15	51.000	44.000	0.137	2142	3.358	7200.000
j2032_10	15	31.000	31.000	0.000	294	1.545	454.551
j2033_1	15	37.000	27.000	0.270	32	206.984	7200.000
j2033_2	15	39.000	27.000	0.308	61	104.634	7200.000
j2033_3	15	67.000	41.000	0.388	1	1617.322	7200.000
j2033_4	15	29.000	21.000	0.276	42	154.550	7200.000
j2033_5	15	70.000	46.000	0.343	19	335.190	7200.000
j2033_6	15	27.000	20.000	0.259	115	61.869	7200.000
j2033_7	15	40.000	30.000	0.250	201	35.305	7200.000
j2033_8	15	49.000	32.000	0.347	28	216.572	7200.000
j2033_9	15	49.000	37.000	0.245	396	18.075	7200.000
j2033_10	15	62.000	41.000	0.339	17	317.227	7200.000
j2034_1	15	54.000	53.000	0.019	2119	3.395	7200.000
j2034_2	15	29.000	29.000	0.000	228	1.217	277.889
j2034_3	15	48.000	35.000	0.271	410	17.470	7200.000
j2034_4	15	34.000	34.000	0.000	625	3.442	2151.468
j2034_5	15	37.000	26.000	0.297	225	31.650	7200.000
j2034_6	15	41.000	41.000	0.000	464	2.225	1032.824
j2034_7	15	41.000	41.000	0.000	1153	6.105	7039.935
j2034_8	15	25.000	25.000	0.000	273	3.546	968.527
j2034_9	15	36.000	36.000	0.000	301	7.313	2201.688
j2034_10	15	44.000	44.000	0.000	853	3.008	2565.890
j2035_1	15	47.000	47.000	0.000	835	2.767	2310.986
j2035_2	15	24.000	24.000	0.000	143	0.835	119.771
j2035_3	15	36.000	36.000	0.000	260	0.646	168.416
j2035_4	15	37.000	37.000	0.000	471	2.028	955.662
j2035_5	15	38.000	36.000	0.053	1686	4.264	7200.000
j2035_6	15	40.000	40.000	0.000	1187	4.675	5549.807
j2035_7	15	26.000	26.000	0.000	126	1.359	171.614
j2035_8	15	33.000	33.000	0.000	429	1.661	713.046
j2035_9	15	44.000	44.000	0.000	211	0.894	189.087
j2035_10	15	36.000	36.000	0.000	599	1.266	758.585
j2037_1	15	58.000	37.000	0.362	1	2384.507	7200.000
j2037_2	15	inf	-inf	nan	0	inf	7200.000
j2037_3	15	inf	-inf	nan	0	inf	7200.000
j2037_4	15	inf	-inf	nan	0	inf	7200.000
j2037_5	15	67.000	43.000	0.358	1	3164.466	7200.000
j2037_6	15	inf	-inf	nan	0	inf	7200.000
j2037_7	15	inf	-inf	nan	0	inf	7200.000
j2037_8	15	inf	-inf	nan	0	inf	7200.000
j2037_9	15	inf	-inf	nan	0	inf	7200.000
j2037_10	15	inf	-inf	nan	0	inf	7200.000
j2038_1	15	34.000	22.000	0.353	52	134.973	7200.000
j2038_2	15	41.000	26.000	0.366	3	1328.369	7200.000
j2038_3	15	34.000	22.000	0.353	61	114.902	7200.000
j2038_4	15	51.000	32.000	0.373	24	282.429	7200.000
j2038_5	15	53.000	43.000	0.189	846	8.499	7200.000
j2038_6	15	45.000	38.000	0.156	1398	5.144	7200.000
j2038_7	15	inf	-inf	nan	0	inf	7200.000
j2038_8	15	50.000	41.000	0.180	657	10.928	7200.000
j2038_9	15	53.000	35.000	0.340	57	122.624	7200.000
j2038_10	15	46.000	30.000	0.348	169	42.206	7200.000
j2039_1	15	48.000	48.000	0.000	756	7.079	5352.075
j2039_2	15	48.000	48.000	0.000	823	4.850	3991.887
j2039_3	15	39.000	39.000	0.000	895	2.137	1913.304
j2039_4	15	45.000	45.000	0.000	281	1.509	424.519
j2039_5	15	41.000	38.000	0.073	1090	6.585	7200.000
j2039_6	15	62.000	50.000	0.194	2047	3.514	7200.000
j2039_7	15	36.000	36.000	0.000	445	1.625	723.477
j2039_8	15	35.000	35.000	0.000	724	4.443	3216.866
j2039_9	15	31.000	31.000	0.000	193	1.079	208.626
j2039_10	15	29.000	29.000	0.000	142	3.054	433.956
j2040_1	15	38.000	38.000	0.000	621	1.294	804.188
j2040_2	15	27.000	27.000	0.000	185	0.859	159.245
j2040_3	15	48.000	46.000	0.042	1668	4.312	7200.000
j2040_4	15	44.000	44.000	0.000	617	0.737	455.203
j2040_5	15	47.000	47.000	0.000	1240	2.849	3533.602
j2040_6	15	30.000	30.000	0.000	107	2.055	220.308
j2040_7	15	43.000	43.000	0.000	196	0.557	109.602
j2040_8	15	40.000	40.000	0.000	1997	3.133	6257.079
j2040_9	15	41.000	41.000	0.000	286	5.939	1699.156
j2040_10	15	38.000	38.000	0.000	949	4.137	3926.650
j2041_1	15	56.000	37.000	0.339	14	460.436	7200.000
j2041_2	15	44.000	28.000	0.364	4	1262.758	7200.000
j2041_3	15	35.000	26.000	0.257	98	72.430	7200.000
j2041_4	15	47.000	31.000	0.340	28	230.909	7200.000
j2041_5	15	42.000	34.000	0.190	361	19.882	7200.000
j2041_6	15	53.000	34.000	0.358	16	401.377	7200.000
j2041_7	15	32.000	27.000	0.156	75	94.176	7200.000
j2041_8	15	38.000	27.000	0.289	93	75.774	7200.000
j2041_9	15	38.000	26.000	0.316	39	175.594	7200.000
j2041_10	15	42.000	40.000	0.048	704	10.182	7200.000
j2042_1	15	25.000	25.000	0.000	58	1.020	59.566
j2042_2	15	36.000	36.000	0.000	208	1.196	249.152
j2042_3	15	43.000	43.000	0.000	808	2.953	2386.696
j2042_4	15	58.000	48.000	0.172	1506	4.773	7200.000
j2042_5	15	32.000	31.000	0.031	578	12.422	7200.000
j2042_6	15	53.000	53.000	0.000	904	2.555	2310.502
j2042_7	15	43.000	43.000	0.000	503	3.414	1717.855
j2042_8	15	45.000	35.000	0.222	170	41.729	7200.000
j2042_9	15	46.000	46.000	0.000	1040	2.281	2372.371
j2042_10	15	30.000	30.000	0.000	73	2.059	150.708
j2043_1	15	52.000	52.000	0.000	2146	2.909	6242.380
j2043_2	15	39.000	39.000	0.000	835	1.351	1128.331
j2043_3	15	42.000	42.000	0.000	1203	1.991	2395.430
j2043_4	15	26.000	26.000	0.000	84	0.686	57.991
j2043_5	15	42.000	39.000	0.071	1949	3.688	7200.000
j2043_6	15	42.000	41.000	0.024	1938	3.713	7200.000
j2043_7	15	27.000	27.000	0.000	121	0.861	104.578
j2043_8	15	39.000	39.000	0.000	1531	2.573	3939.577
j2043_9	15	36.000	36.000	0.000	420	1.166	489.967
j2043_10	15	39.000	39.000	0.000	953	5.076	4838.167
j2044_1	15	29.000	29.000	0.000	395	0.834	329.934
j2044_2	15	38.000	38.000	0.000	392	0.841	329.985
j2044_3	15	43.000	43.000	0.000	562	0.909	511.382
j2044_4	15	40.000	40.000	0.000	430	0.955	411.283
j2044_5	15	41.000	41.000	0.000	260	0.743	193.700
j2044_6	15	35.000	35.000	0.000	260	0.708	184.534
j2044_7	15	42.000	42.000	0.000	436	0.678	295.896
j2044_8	15	34.000	34.000	0.000	137	1.013	139.186
j2044_9	15	46.000	46.000	0.000	690	1.057	729.427
j2044_10	15	41.000	41.000	0.000	229	0.723	166.057
j2045_1	15	inf	-inf	nan	0	inf	7200.000
j2045_2	15	inf	-inf	nan	0	inf	7200.000
j2045_3	15	inf	-inf	nan	0	inf	7200.000
j2045_4	15	inf	-inf	nan	0	inf	7200.000
j2045_5	15	54.000	34.000	0.370	2	1786.022	7200.000
j2045_6	15	56.000	36.000	0.357	21	298.866	7200.000
j2045_7	15	inf	-inf	nan	0	inf	7200.000
j2045_8	15	49.000	32.000	0.347	13	512.327	7200.000
j2045_9	15	59.000	38.000	0.356	11	560.937	7200.000
j2045_10	15	inf	-inf	nan	0	inf	7200.000
j2046_1	15	46.000	30.000	0.348	32	212.295	7200.000
j2046_2	15	45.000	33.000	0.267	827	8.690	7200.000
j2046_3	15	41.000	26.000	0.366	3	1794.859	7200.000
j2046_4	15	42.000	28.000	0.333	100	68.844	7200.000
j2046_5	15	36.000	36.000	0.000	1259	5.359	6747.826
j2046_6	15	45.000	30.000	0.333	29	234.535	7200.000
j2046_7	15	37.000	24.000	0.351	23	297.326	7200.000
j2046_8	15	38.000	26.000	0.316	305	23.448	7200.000
j2046_9	15	41.000	41.000	0.000	849	4.923	4179.726
j2046_10	15	47.000	41.000	0.128	909	7.898	7200.000
j2047_1	15	32.000	25.000	0.219	680	10.567	7200.000
j2047_2	15	30.000	30.000	0.000	184	0.996	183.658
j2047_3	15	31.000	31.000	0.000	89	1.197	106.915
j2047_4	15	34.000	34.000	0.000	248	1.527	379.017
j2047_5	15	33.000	33.000	0.000	426	2.580	1099.605
j2047_6	15	34.000	34.000	0.000	135	1.000	135.358
j2047_7	15	44.000	44.000	0.000	735	1.068	785.053
j2047_8	15	29.000	29.000	0.000	114	1.225	139.990
j2047_9	15	58.000	47.000	0.190	1456	4.938	7200.000
j2047_10	15	42.000	29.000	0.310	158	44.965	7200.000
j2048_1	15	32.000	32.000	0.000	1588	4.072	6467.346
j2048_2	15	37.000	37.000	0.000	713	3.669	2616.201
j2048_3	15	32.000	32.000	0.000	100	0.626	62.992
j2048_4	15	24.000	24.000	0.000	118	0.924	109.526
j2048_5	15	24.000	24.000	0.000	72	0.530	38.600
j2048_6	15	46.000	46.000	0.000	1399	2.389	3342.811
j2048_7	15	41.000	41.000	0.000	257	0.730	188.078
j2048_8	15	32.000	32.000	0.000	196	0.732	143.932
j2048_9	15	36.000	36.000	0.000	276	0.986	272.619
j2048_10	15	45.000	45.000	0.000	925	5.534	5119.559
j2049_1	15	39.000	25.000	0.359	3	1608.592	7200.000
j2049_2	15	53.000	41.000	0.226	19	358.254	7200.000
j2049_3	15	34.000	23.000	0.324	27	236.416	7200.000
j2049_4	15	60.000	38.000	0.367	2	1564.782	7200.000
j2049_5	15	34.000	28.000	0.176	300	23.851	7200.000
j2049_6	15	42.000	29.000	0.310	71	98.911	7200.000
j2049_7	15	52.000	34.000	0.346	106	65.781	7200.000
j2049_8	15	34.000	24.000	0.294	41	167.431	7200.000
j2049_9	15	32.000	24.000	0.250	62	113.306	7200.000
j2049_10	15	47.000	29.000	0.383	4	1055.910	7200.000
j2050_1	15	44.000	33.000	0.250	268	26.605	7200.000
j2050_2	15	35.000	35.000	0.000	782	4.355	3406.203
j2050_3	15	36.000	36.000	0.000	590	1.251	738.495
j2050_4	15	27.000	27.000	0.000	248	12.235	3034.670
j2050_5	15	46.000	40.000	0.130	1070	6.714	7200.000
j2050_6	15	34.000	34.000	0.000	636	1.649	1049.372
j2050_7	15	24.000	24.000	0.000	186	5.363	997.969
j2050_8	15	38.000	38.000	0.000	1235	2.117	2615.178
j2050_9	15	44.000	44.000	0.000	1521	2.689	4090.593
j2050_10	15	45.000	35.000	0.222	1197	6.002	7200.000
j2051_1	15	28.000	28.000	0.000	150	1.225	184.189
j2051_2	15	40.000	40.000	0.000	265	0.888	235.626
j2051_3	15	27.000	27.000	0.000	41	0.720	29.869
j2051_4	15	34.000	34.000	0.000	311	1.013	315.250
j2051_5	15	44.000	38.000	0.136	1389	5.178	7200.000
j2051_6	15	34.000	34.000	0.000	471	2.362	1113.043
j2051_7	15	29.000	29.000	0.000	81	0.875	71.504
j2051_8	15	39.000	39.000	0.000	567	1.662	942.943
j2051_9	15	35.000	35.000	0.000	113	0.741	84.134
j2051_10	15	33.000	33.000	0.000	179	0.661	118.751
j2052_1	15	29.000	29.000	0.000	213	0.709	151.398
j2052_2	15	36.000	36.000	0.000	236	0.599	141.854
j2052_3	15	38.000	38.000	0.000	720	1.052	757.831
j2052_4	15	33.000	33.000	0.000	307	0.791	243.337
j2052_5	15	33.000	33.000	0.000	144	0.584	84.501
j2052_6	15	31.000	31.000	0.000	101	0.845	85.825
j2052_7	15	39.000	39.000	0.000	317	0.721	228.988
j2052_8	15	44.000	44.000	0.000	720	0.924	665.647
j2052_9	15	29.000	29.000	0.000	182	0.926	168.928
j2052_10	15	40.000	40.000	0.000	1296	1.708	2213.789
j2053_1	15	43.000	29.000	0.326	1	3483.225	7200.000
j2053_2	15	inf	-inf	nan	0	inf	7200.000
j2053_3	15	inf	-inf	nan	0	inf	7200.000
j2053_4	15	inf	-inf	nan	0	inf	7200.000
j2053_5	15	inf	-inf	nan	0	inf	7200.000
j2053_6	15	inf	-inf	nan	0	inf	7200.000
j2053_7	15	inf	-inf	nan	0	inf	7200.000
j2053_8	15	inf	-inf	nan	0	inf	7200.000
j2053_9	15	inf	-inf	nan	0	inf	7200.000
j2053_10	15	inf	-inf	nan	0	inf	7200.000
j2054_1	15	44.000	39.000	0.114	1257	5.717	7200.000
j2054_2	15	31.000	22.000	0.290	162	44.035	7200.000
j2054_3	15	38.000	25.000	0.342	172	41.471	7200.000
j2054_4	15	44.000	30.000	0.318	139	51.129	7200.000
j2054_5	15	37.000	37.000	0.000	205	5.567	1141.667
j2054_6	15	49.000	32.000	0.347	3	996.944	7200.000
j2054_7	15	39.000	39.000	0.000	637	2.224	1417.136
j2054_8	15	38.000	25.000	0.342	14	381.839	7200.000
j2054_9	15	40.000	35.000	0.125	636	11.292	7200.000
j2054_10	15	31.000	22.000	0.290	125	56.823	7200.000
j2055_1	15	38.000	38.000	0.000	839	2.976	2497.214
