instance	Gamma	objval	objbound	gap	runtime
j1046_10	3	24.000	24.000	0.000	0.172
j1047_1	3	30.000	30.000	0.000	1.369
j1047_2	3	22.000	22.000	0.000	0.524
j1047_3	3	26.000	26.000	0.000	0.461
j1047_4	3	34.000	34.000	0.000	1.010
j1047_5	3	20.000	20.000	0.000	0.579
j1047_6	3	28.000	28.000	0.000	0.877
j1047_7	3	25.000	25.000	0.000	3.851
j1047_8	3	28.000	28.000	0.000	0.928
j1047_9	3	18.000	18.000	0.000	0.248
j1047_10	3	40.000	40.000	0.000	2.003
j1048_1	3	25.000	25.000	0.000	0.939
j1048_2	3	23.000	23.000	0.000	1.053
j1048_3	3	21.000	21.000	0.000	0.336
j1048_4	3	14.000	14.000	0.000	0.401
j1048_5	3	21.000	21.000	0.000	0.652
j1048_6	3	21.000	21.000	0.000	0.844
j1048_7	3	21.000	21.000	0.000	0.485
j1048_8	3	37.000	37.000	0.000	0.172
j1048_9	3	24.000	24.000	0.000	0.526
j1048_10	3	26.000	26.000	0.000	0.936
j1050_1	3	20.000	20.000	0.000	0.194
j1050_2	3	29.000	29.000	0.000	0.226
j1050_3	3	23.000	23.000	0.000	0.191
j1050_4	3	27.000	27.000	0.000	0.160
j1050_5	3	15.000	15.000	0.000	0.271
j1050_6	3	17.000	17.000	0.000	0.298
j1050_7	3	36.000	36.000	0.000	0.174
j1050_8	3	17.000	17.000	0.000	0.195
j1050_9	3	33.000	33.000	0.000	0.551
j1050_10	3	19.000	19.000	0.000	0.494
j1051_1	3	35.000	35.000	0.000	0.180
j1051_2	3	22.000	22.000	0.000	0.142
j1051_3	3	22.000	22.000	0.000	0.580
j1051_4	3	26.000	26.000	0.000	0.277
j1051_5	3	42.000	42.000	0.000	0.375
j1051_6	3	13.000	13.000	0.000	0.155
j1051_7	3	30.000	30.000	0.000	0.406
j1051_8	3	21.000	21.000	0.000	0.107
j1051_9	3	28.000	28.000	0.000	0.272
j1051_10	3	19.000	19.000	0.000	0.126
j1052_1	3	16.000	16.000	0.000	0.442
j1052_2	3	26.000	26.000	0.000	0.163
j1052_3	3	13.000	13.000	0.000	0.304
j1052_4	3	23.000	23.000	0.000	0.160
j1052_5	3	28.000	28.000	0.000	0.244
j1052_6	3	21.000	21.000	0.000	0.358
j1052_7	3	25.000	25.000	0.000	0.448
j1052_8	3	26.000	26.000	0.000	0.209
j1052_9	3	27.000	27.000	0.000	0.537
j1052_10	3	15.000	15.000	0.000	0.197
j1053_1	3	26.000	26.000	0.000	0.221
j1053_2	3	24.000	24.000	0.000	0.135
j1053_3	3	32.000	32.000	0.000	0.289
j1053_4	3	14.000	14.000	0.000	0.199
j1053_5	3	27.000	27.000	0.000	0.336
j1053_6	3	28.000	28.000	0.000	0.197
j1053_7	3	18.000	18.000	0.000	0.567
j1053_8	3	27.000	27.000	0.000	0.526
j1053_9	3	13.000	13.000	0.000	0.255
j1053_10	3	35.000	35.000	0.000	0.144
j1054_1	3	24.000	24.000	0.000	0.728
j1054_2	3	31.000	31.000	0.000	0.166
j1054_3	3	32.000	32.000	0.000	0.148
j1054_4	3	24.000	24.000	0.000	0.104
j1054_5	3	22.000	22.000	0.000	0.180
j1054_6	3	20.000	20.000	0.000	0.185
j1054_7	3	29.000	29.000	0.000	0.187
j1054_8	3	14.000	14.000	0.000	0.428
j1054_9	3	25.000	25.000	0.000	0.870
j1054_10	3	29.000	29.000	0.000	0.180
j1055_1	3	27.000	27.000	0.000	0.162
j1055_2	3	19.000	19.000	0.000	0.184
j1055_3	3	20.000	20.000	0.000	0.138
j1055_4	3	38.000	38.000	0.000	0.186
j1055_5	3	21.000	21.000	0.000	0.161
j1055_6	3	29.000	29.000	0.000	0.240
j1055_7	3	19.000	19.000	0.000	0.302
j1055_8	3	25.000	25.000	0.000	1.154
j1055_9	3	19.000	19.000	0.000	0.306
j1055_10	3	26.000	26.000	0.000	0.171
j1056_1	3	22.000	22.000	0.000	0.178
j1056_2	3	20.000	20.000	0.000	0.145
j1056_3	3	35.000	35.000	0.000	0.131
j1056_4	3	16.000	16.000	0.000	0.112
j1056_5	3	22.000	22.000	0.000	0.500
j1056_6	3	21.000	21.000	0.000	0.195
j1056_7	3	28.000	28.000	0.000	0.194
j1056_8	3	23.000	23.000	0.000	0.158
j1056_9	3	23.000	23.000	0.000	0.553
j1056_10	3	22.000	22.000	0.000	0.187
j1058_1	3	30.000	30.000	0.000	0.105
j1058_2	3	23.000	23.000	0.000	0.113
j1058_3	3	26.000	26.000	0.000	0.117
j1058_4	3	25.000	25.000	0.000	0.120
j1058_5	3	23.000	23.000	0.000	0.100
j1058_6	3	13.000	13.000	0.000	0.118
j1058_7	3	21.000	21.000	0.000	0.120
j1058_8	3	25.000	25.000	0.000	0.062
j1058_9	3	14.000	14.000	0.000	0.202
j1058_10	3	21.000	21.000	0.000	0.129
j1059_1	3	20.000	20.000	0.000	0.162
j1059_2	3	23.000	23.000	0.000	0.131
j1059_3	3	25.000	25.000	0.000	0.108
j1059_4	3	22.000	22.000	0.000	0.103
j1059_5	3	20.000	20.000	0.000	0.124
j1059_6	3	18.000	18.000	0.000	0.102
j1059_7	3	17.000	17.000	0.000	0.132
j1059_8	3	18.000	18.000	0.000	0.161
j1059_9	3	23.000	23.000	0.000	0.104
j1059_10	3	25.000	25.000	0.000	0.162
j1060_1	3	20.000	20.000	0.000	0.171
j1060_2	3	30.000	30.000	0.000	0.117
j1060_3	3	14.000	14.000	0.000	0.144
j1060_4	3	20.000	20.000	0.000	0.101
j1060_5	3	26.000	26.000	0.000	0.097
j1060_6	3	15.000	15.000	0.000	0.157
j1060_7	3	24.000	24.000	0.000	0.098
j1060_8	3	21.000	21.000	0.000	0.154
j1060_9	3	22.000	22.000	0.000	0.152
j1060_10	3	23.000	23.000	0.000	0.113
j1061_1	3	15.000	15.000	0.000	0.188
j1061_2	3	23.000	23.000	0.000	0.104
j1061_3	3	35.000	35.000	0.000	0.135
j1061_4	3	23.000	23.000	0.000	0.100
j1061_5	3	27.000	27.000	0.000	0.189
j1061_6	3	32.000	32.000	0.000	0.121
j1061_7	3	19.000	19.000	0.000	0.131
j1061_8	3	27.000	27.000	0.000	0.182
j1061_9	3	29.000	29.000	0.000	0.117
j1061_10	3	49.000	49.000	0.000	0.193
j1062_1	3	19.000	19.000	0.000	0.139
j1062_2	3	28.000	28.000	0.000	0.128
j1062_3	3	18.000	18.000	0.000	0.177
j1062_4	3	18.000	18.000	0.000	0.107
j1062_5	3	30.000	30.000	0.000	0.147
j1062_6	3	29.000	29.000	0.000	0.099
j1062_7	3	13.000	13.000	0.000	0.146
j1062_8	3	17.000	17.000	0.000	0.149
j1062_9	3	23.000	23.000	0.000	0.106
j1062_10	3	27.000	27.000	0.000	0.138
j1063_1	3	23.000	23.000	0.000	0.122
j1063_2	3	26.000	26.000	0.000	0.163
j1063_3	3	26.000	26.000	0.000	0.159
j1063_4	3	18.000	18.000	0.000	0.106
j1063_5	3	17.000	17.000	0.000	0.131
j1063_6	3	22.000	22.000	0.000	0.206
j1063_7	3	23.000	23.000	0.000	0.067
j1063_8	3	12.000	12.000	0.000	0.104
j1063_9	3	15.000	15.000	0.000	0.176
j1063_10	3	14.000	14.000	0.000	0.145
j1064_1	3	26.000	26.000	0.000	0.070
j1064_2	3	21.000	21.000	0.000	0.123
j1064_3	3	21.000	21.000	0.000	0.122
j1064_4	3	21.000	21.000	0.000	0.094
j1064_5	3	25.000	25.000	0.000	0.152
j1064_6	3	18.000	18.000	0.000	0.165
j1064_7	3	18.000	18.000	0.000	0.106
j1064_8	3	22.000	22.000	0.000	0.109
j1064_9	3	28.000	28.000	0.000	0.140
j1064_10	3	23.000	23.000	0.000	0.131
